"","02-A","02-A_Pop1","02-A_Pop2","02-B","02-B_Pop1","02-C","02-C_Pop1","02-D","02-E","02-F","02-G","02-H"
"J10",NA,NA,NA,6,NA,2,NA,1,1,NA,NA,NA
"J11",1,NA,1,3,NA,3,NA,NA,NA,NA,NA,NA
"J21",NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA
"J22",NA,NA,NA,1,NA,1,NA,1,1,1,NA,NA
"J23",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J32",1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"J33",NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA
"J41",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"J42",NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA
"J43",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
