"","04-A","04-B","04-C","04-C_Pop1","04-D","04-E","04-E_Pop1","04-F","04-G","04-G_Pop1","04-G_Pop2","04-H","04-H_Pop1","04-H_Pop2","04-H_Pop3","04-I","04-J","04-K","04-L","04-L_Pop1","04-L_Pop2"
"J10",NA,3,4,NA,3,NA,NA,NA,NA,NA,NA,3,NA,1,NA,4,NA,NA,NA,NA,NA
"J11",NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA
"J21",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,NA,NA
"J22",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"J23",NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,1,1,1,1,NA,NA
"J32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J33",NA,NA,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA
"J41",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"J42",NA,1,1,NA,1,1,NA,NA,1,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA
"J43",NA,3,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,NA,NA,NA,NA
