"","J10","J11","J21","J22","J23","J32","J33","J41","J42","J43","Mean_all","Mean_men","Mean_wom"
"04-A","1",NA,NA,NA,NA,"1",NA,NA,"1",NA,"1","1","1"
"04-B",NA,"1",NA,NA,NA,"4",NA,NA,"2",NA,"2.33333333333333","4","1.5"
"04-C",NA,"2",NA,NA,NA,"6","1",NA,"1",NA,"2.5","6","1.33333333333333"
"04-C_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-D","1","2",NA,NA,"1","4","2","1",NA,"1","1.71428571428571","1.6","2"
"04-E",NA,NA,NA,NA,"1","7","1",NA,NA,NA,"3","4","1"
"04-E_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-F",NA,NA,NA,NA,NA,"2","1",NA,NA,NA,"1.5","2","1"
"04-G","4","2",NA,NA,"1","2",NA,NA,"5",NA,"2.8","2.33333333333333","3.5"
"04-G_Pop1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","NaN"
"04-G_Pop2",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","NaN","1"
"04-H","3","1",NA,NA,"1","18",NA,NA,"3","1","4.5","5.75","2"
"04-H_Pop1",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,"4","4","NaN"
"04-H_Pop2",NA,NA,NA,NA,NA,"3",NA,NA,"1",NA,"2","3","1"
"04-H_Pop3",NA,"1",NA,NA,NA,"4",NA,NA,"2",NA,"2.33333333333333","4","1.5"
"04-I","1","1",NA,NA,"1","3",NA,NA,"2",NA,"1.6","1.66666666666667","1.5"
"04-J","3",NA,NA,NA,"1",NA,"1",NA,"2",NA,"1.75","2","1.5"
"04-K","2",NA,NA,NA,"2","1",NA,NA,"2",NA,"1.75","1.66666666666667","2"
"04-L",NA,NA,NA,NA,NA,"1","1",NA,"1",NA,"1","1","1"
"04-L_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-L_Pop2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"Mood","缶コーヒー","弁当","おにぎり","ヨーグルト","おにぎり","飲み物","おにぎり","甘いもの","アルコール","おにぎり","缶コーヒー","弁当","おにぎり"
