"","J10","J11","J21","J22","J23","J32","J33","J41","J42","J43","Mean_all","Mean_men","Mean_wom"
"05-A",NA,"2",NA,NA,NA,NA,"1",NA,"3","1","1.75","1","2"
"05-B",NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1","NaN","1"
"05-C",NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1","1","1"
"05-D",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1","NaN","1"
"05-E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"05-F",NA,"1",NA,NA,NA,NA,"1","1",NA,NA,"1","1","1"
"05-F_Pop1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1","NaN","1"
"05-G",NA,"1",NA,NA,NA,"1","2",NA,NA,NA,"1.33333333333333","1","1.5"
"05-G_Pop1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1","NaN","1"
"05-IC_Pop",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1","NaN"
"05-PosMonitor",NA,"1",NA,"2",NA,"6","1",NA,"4","1","2.5","3.5","2"
"05-Poster",NA,NA,NA,"1","1",NA,"1",NA,NA,NA,"1","1","1"
"Mood","缶コーヒー","弁当","おにぎり","ヨーグルト","おにぎり","飲み物","おにぎり","甘いもの","アルコール","おにぎり","缶コーヒー","弁当","おにぎり"
