"","05-A","05-B","05-C","05-D","05-E","05-F","05-F_Pop1","05-G","05-G_Pop1","05-IC_Pop","05-PosMonitor","05-Poster"
"J10",2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"J11",NA,NA,NA,NA,NA,2,NA,NA,NA,1,2,NA
"J21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J22",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA
"J23",1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1
"J32",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1
"J33",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1
"J41",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"J42",5,4,1,4,2,NA,NA,3,NA,NA,6,NA
"J43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
