"","J10","J11","J21","J22","J23","J32","J33","J41","J42","J43","Mean_all","Mean_men","Mean_wom"
"02-A",NA,"0.97",NA,NA,"0.17","0.27",NA,NA,NA,NA,"0.47","0.22","0.97"
"02-A_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"02-A_Pop2",NA,"0.07",NA,NA,NA,NA,NA,NA,NA,NA,"0.07","NaN","0.07"
"02-B","0.8","0.57","0.73","0.63",NA,"0.13","0.6",NA,"0.13",NA,"0.512857142857143","0.465","0.532"
"02-B_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"02-C","0.27","0.83","1.3","0.1",NA,NA,"0.17","0.03","0.2","0.07","0.37125","0.123333333333333","0.52"
"02-C_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,"0.07",NA,"0.07","NaN","0.07"
"02-D","0.07",NA,NA,"0.03",NA,"0.13",NA,NA,NA,NA,"0.0766666666666667","0.1","0.03"
"02-E","0.87",NA,NA,"0.87",NA,NA,"0.17",NA,NA,NA,"0.636666666666667","0.87","0.52"
"02-F",NA,NA,NA,"0.5",NA,NA,NA,NA,NA,NA,"0.5","NaN","0.5"
"02-G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"02-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"Mood","缶コーヒー","弁当","おにぎり","ヨーグルト","おにぎり","飲み物","おにぎり","甘いもの","アルコール","おにぎり","缶コーヒー","弁当","おにぎり"
