"","02-A","02-A_Pop1","02-A_Pop2","02-B","02-B_Pop1","02-C","02-C_Pop1","02-D","02-E","02-F","02-G","02-H"
"J10",6.57,0.13,0.67,6.47,NA,7.6,0.97,16.4,7.93,0.63,1.03,1.5
"J11",2.53,0.17,NA,1.47,0.03,6,NA,6.63,5.3,2.13,1.67,0.17
"J21",NA,NA,NA,NA,NA,NA,NA,0.43,NA,NA,NA,NA
"J22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J23",1.3,NA,0.13,9.07,NA,31.27,1.17,0.47,5.97,1.6,0.63,1.07
"J32",8.27,NA,11.5,3.1,NA,3.1,1.77,3.23,2.93,NA,0.27,0.4
"J33",0.72,NA,0.8,7.68,0.48,1.32,0.24,0.48,0.96,1,0.44,2.2
"J41",0.67,NA,0.5,2.07,NA,11.1,NA,2.2,8.93,0.93,0.1,0.23
"J42",2.9,NA,1.2,5.17,NA,10.1,0.13,1.9,2.53,0.2,NA,NA
"J43",1.87,NA,1.2,1.23,NA,2.73,0.4,10.4,10.23,1.57,0.53,0.63
