"","J10","J11","J21","J22","J23","J32","J33","J41","J42","J43","Mean_all","Mean_men","Mean_wom"
"04-A","0.17",NA,NA,NA,NA,"0.2",NA,NA,"0.27",NA,"0.213333333333333","0.185","0.27"
"04-B",NA,"0.67",NA,NA,NA,"1.37",NA,NA,"0.47",NA,"0.836666666666667","1.37","0.57"
"04-C",NA,"4.03",NA,NA,NA,"3.37","0.37",NA,"0.2",NA,"1.9925","3.37","1.53333333333333"
"04-C_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-D","0.03","0.23",NA,NA,"0.13","2.23","0.5","0.07",NA,"0.1","0.47","0.512","0.365"
"04-E",NA,NA,NA,NA,"0.2","2.53","0.43",NA,NA,NA,"1.05333333333333","1.365","0.43"
"04-E_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-F",NA,NA,NA,NA,NA,"0.93","0.37",NA,NA,NA,"0.65","0.93","0.37"
"04-G","2.67","1.87",NA,NA,"0.1","0.47",NA,NA,"7.43",NA,"2.508","1.08","4.65"
"04-G_Pop1","0.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.17","0.17","NaN"
"04-G_Pop2",NA,NA,NA,NA,NA,NA,NA,NA,"0.2",NA,"0.2","NaN","0.2"
"04-H","1.03","0.2",NA,NA,"0.17","10.43",NA,NA,"1.73","0.5","2.34333333333333","3.0325","0.965"
"04-H_Pop1",NA,NA,NA,NA,NA,"1.83",NA,NA,NA,NA,"1.83","1.83","NaN"
"04-H_Pop2",NA,NA,NA,NA,NA,"1.13",NA,NA,"0.3",NA,"0.715","1.13","0.3"
"04-H_Pop3",NA,"0.17",NA,NA,NA,"2.07",NA,NA,"0.23",NA,"0.823333333333333","2.07","0.2"
"04-I","0.07","0.2",NA,NA,"0.13","1",NA,NA,"0.73",NA,"0.426","0.4","0.465"
"04-J","4.63",NA,NA,NA,"0.23",NA,"0.13",NA,"0.7",NA,"1.4225","2.43","0.415"
"04-K","0.33",NA,NA,NA,"0.5","0.43",NA,NA,"0.6",NA,"0.465","0.42","0.6"
"04-L",NA,NA,NA,NA,NA,"1.07","0.4",NA,"0.1",NA,"0.523333333333333","1.07","0.25"
"04-L_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-L_Pop2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"Mood","缶コーヒー","弁当","おにぎり","ヨーグルト","おにぎり","飲み物","おにぎり","甘いもの","アルコール","おにぎり","缶コーヒー","弁当","おにぎり"
