"","04-A","04-B","04-C","04-C_Pop1","04-D","04-E","04-E_Pop1","04-F","04-G","04-G_Pop1","04-G_Pop2","04-H","04-H_Pop1","04-H_Pop2","04-H_Pop3","04-I","04-J","04-K","04-L","04-L_Pop1","04-L_Pop2"
"J10",109.7,NA,NA,NA,114.1,NA,NA,NA,105.3,107.4,NA,105,NA,NA,NA,110.57,110.63,114.7,NA,NA,NA
"J11",NA,261.73,262.4,NA,265.36,NA,NA,NA,255.9,NA,NA,256.23,NA,NA,258.03,258.2,NA,NA,NA,NA,NA
"J21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J23",NA,NA,NA,NA,319.73,319.53,NA,NA,315.4,NA,NA,314.93,NA,NA,NA,318.96,319.1,311.53,NA,NA,NA
"J32",255.13,239.06,244.73,NA,256.6,260.8,NA,291.13,241.83,NA,NA,228.4,229,234.7,229.26,228.23,NA,261.96,292.8,NA,NA
"J33",NA,NA,46.33,NA,46.13,45.33,NA,45.77,NA,NA,NA,NA,NA,NA,NA,NA,74.07,NA,47,NA,NA
"J41",NA,NA,NA,NA,224.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J42",48.27,33.8,48.9,NA,NA,NA,NA,NA,35.5,NA,37.03,35.37,NA,42.27,33.97,40.13,40.43,40.83,41.3,NA,NA
"J43",NA,NA,NA,NA,96.7,NA,NA,NA,NA,NA,NA,97.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
