"","J10","J11","J21","J22","J23","J32","J33","J41","J42","J43","Mean_all","Mean_men","Mean_wom"
"04-A","131.97","72.47","28.43","28.23","102.47",NA,"11.96",NA,NA,"91.6","66.7328571428571","108.68","35.2725"
"04-B","130.13","69.07","28.67","29.67","95.07",NA,"11.72","98.53",NA,"87.43","68.78625","102.79","34.7825"
"04-C","129.9","69.4","20.07","26.53","94.33",NA,"14.4","98","29.07","87.27","63.2188888888889","102.375","31.894"
"04-C_Pop1",NA,"139.43",NA,NA,"113.5",NA,NA,NA,NA,NA,"126.465","113.5","139.43"
"04-D","139.2","70.53","20.83","27","91.4",NA,"14.76","97.8",NA,"90.6","69.015","104.75","33.28"
"04-E","140.6","71.4","32.27","30.3","91.17",NA,"15.04","97.4",NA,NA,"68.3114285714286","109.723333333333","37.2525"
"04-E_Pop1","151.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,"151.73","151.73","NaN"
"04-F","151.77",NA,"36.9",NA,"90.9",NA,"15.24","97.2",NA,"105.17","82.8633333333333","111.26","26.07"
"04-G","132.7",NA,NA,"38.73",NA,NA,"13.16",NA,NA,"91.93","69.13","112.315","25.945"
"04-G_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-G_Pop2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-H","133.2",NA,"16.37","25.63","115.83",NA,"17.56",NA,NA,NA,"61.718","124.515","19.8533333333333"
"04-H_Pop1",NA,NA,NA,NA,NA,NA,"22.96",NA,NA,NA,"22.96","NaN","22.96"
"04-H_Pop2",NA,NA,NA,"27.7",NA,NA,"39.72",NA,NA,NA,"33.71","NaN","33.71"
"04-H_Pop3",NA,NA,NA,NA,NA,NA,"40.84",NA,NA,NA,"40.84","NaN","40.84"
"04-I",NA,"72.07","18.77","26.1","90",NA,"20.84","100.37","28","93.1","56.15625","94.49","33.156"
"04-J","158.7",NA,"13.93",NA,"90.23",NA,"17.44","100.7",NA,"93.47","79.0783333333333","110.775","15.685"
"04-K","158.83",NA,"12.7","27.43","90.43",NA,"22.2","88.53",NA,"94.03","70.5928571428571","107.955","20.7766666666667"
"04-L","156.2",NA,NA,"35.63","90.67",NA,NA,"95.27",NA,"94.27","94.408","109.1025","35.63"
"04-L_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-L_Pop2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"Mood","缶コーヒー","弁当","おにぎり","ヨーグルト","おにぎり","飲み物","おにぎり","甘いもの","アルコール","おにぎり","缶コーヒー","弁当","おにぎり"
