"","05-A","05-B","05-C","05-D","05-E","05-F","05-F_Pop1","05-G","05-G_Pop1","05-IC_Pop","05-PosMonitor","05-Poster"
"J10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J11",403.76,672.26,960.82,969.69,NA,1014.46,1015.22,961.12,961.06,NA,966.39,NA
"J21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.4,154.27
"J23",NA,NA,349.73,NA,NA,NA,NA,NA,NA,NA,NA,413.1
"J32",NA,NA,NA,NA,NA,NA,NA,299.13,NA,NA,24.1,NA
"J33",162.23,162.07,NA,NA,NA,373.78,NA,162.37,NA,NA,198.07,198.27
"J41",NA,NA,NA,NA,NA,259.36,NA,NA,NA,259.5,NA,NA
"J42",25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.37,NA
"J43",106.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.53,NA
