"","J10","J11","J21","J22","J23","J32","J33","J41","J42","J43","Mean_all","Mean_men","Mean_wom"
"05-A","213.67",NA,NA,NA,"133.5",NA,NA,"113.03","33.23",NA,"123.3575","153.4","33.23"
"05-B","213.7",NA,NA,NA,NA,NA,NA,NA,"33.83",NA,"123.765","213.7","33.83"
"05-C",NA,NA,NA,NA,NA,NA,NA,NA,"46.53",NA,"46.53","NaN","46.53"
"05-D",NA,NA,NA,NA,NA,NA,NA,NA,"37.37",NA,"37.37","NaN","37.37"
"05-E",NA,NA,NA,NA,NA,"60.13","164.4","120.37","32.43",NA,"94.3325","90.25","98.415"
"05-F",NA,"162.8",NA,"45.3",NA,"53.87","164.04",NA,NA,NA,"106.5025","53.87","124.046666666667"
"05-F_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"05-G",NA,NA,NA,NA,"134.7",NA,NA,NA,"40.17",NA,"87.435","134.7","40.17"
"05-G_Pop1",NA,NA,NA,NA,"134.43",NA,NA,NA,NA,NA,"134.43","134.43","NaN"
"05-IC_Pop","212.83","158.57",NA,NA,NA,NA,NA,NA,NA,NA,"185.7","212.83","158.57"
"05-PosMonitor",NA,"158.5",NA,"41.93",NA,NA,NA,NA,"30.93",NA,"77.12","NaN","77.12"
"05-Poster",NA,NA,NA,NA,"158.93","78.87","162.76",NA,NA,NA,"133.52","118.9","162.76"
"Mood","缶コーヒー","弁当","おにぎり","ヨーグルト","おにぎり","飲み物","おにぎり","甘いもの","アルコール","おにぎり","缶コーヒー","弁当","おにぎり"
