"","J10","J11","J21","J22","J23","J32","J33","J41","J42","J43","Mean_all","Mean_men","Mean_wom"
"04-A","1",NA,NA,NA,"2",NA,NA,NA,NA,NA,"1.5","1.5","NaN"
"04-B","2",NA,"3",NA,"3",NA,NA,NA,NA,"1","2.25","2","3"
"04-C",NA,"1",NA,NA,"3",NA,NA,NA,"2","2","2","2.5","1.5"
"04-C_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-D",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"2","2","NaN"
"04-E",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1","1","NaN"
"04-E_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-F",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","NaN","1"
"04-G","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1"
"04-G_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-G_Pop2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","NaN"
"04-H","4",NA,"1",NA,"2",NA,"1","1",NA,"2","1.83333333333333","2.25","1"
"04-H_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-H_Pop2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-H_Pop3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-I",NA,NA,NA,"1","2",NA,"2","1",NA,"1","1.4","1.33333333333333","1.5"
"04-J",NA,NA,NA,NA,"2",NA,NA,"1","1",NA,"1.33333333333333","1.5","1"
"04-K",NA,NA,"1","1","2",NA,NA,NA,NA,NA,"1.33333333333333","2","1"
"04-L",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1","1","NaN"
"04-L_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-L_Pop2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"Mood","缶コーヒー","弁当","おにぎり","ヨーグルト","おにぎり","飲み物","おにぎり","甘いもの","アルコール","おにぎり","缶コーヒー","弁当","おにぎり"
