"","04-A","04-B","04-C","04-C_Pop1","04-D","04-E","04-E_Pop1","04-F","04-G","04-G_Pop1","04-G_Pop2","04-H","04-H_Pop1","04-H_Pop2","04-H_Pop3","04-I","04-J","04-K","04-L","04-L_Pop1","04-L_Pop2"
"J10",7,10,7,NA,7,15,4,11,3,NA,NA,4,NA,NA,NA,NA,3,5,2,NA,NA
"J11",3,6,8,2,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"J21",2,1,3,NA,5,2,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA
"J22",1,4,5,NA,6,4,NA,NA,1,NA,NA,4,NA,1,NA,1,NA,2,2,NA,NA
"J23",1,3,4,1,6,8,NA,4,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA
"J32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J33",2,2,1,NA,1,3,NA,2,4,NA,NA,27,9,3,10,3,4,2,NA,NA,NA
"J41",NA,1,3,NA,2,4,NA,1,NA,NA,NA,NA,NA,NA,NA,3,6,7,1,NA,NA
"J42",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"J43",3,8,5,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,2,1,5,NA,NA
