"","05-A","05-B","05-C","05-D","05-E","05-F","05-F_Pop1","05-G","05-G_Pop1","05-IC_Pop","05-PosMonitor","05-Poster"
"J10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J11",2,1,1,1,NA,1,1,1,1,NA,1,NA
"J21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
"J23",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"J32",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,NA
"J33",1,1,NA,NA,NA,1,NA,2,NA,NA,1,1
"J41",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"J42",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
"J43",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
