"","J10","J11","J21","J22","J23","J32","J33","J41","J42","J43","Mean_all","Mean_men","Mean_wom"
"05-A",NA,NA,NA,NA,"1","1",NA,NA,"6","1","2.25","1","6"
"05-B",NA,NA,NA,NA,"1","2",NA,NA,"2",NA,"1.66666666666667","1.5","2"
"05-C",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1","1","NaN"
"05-D","1","6",NA,"4","7","2","4","2","1","3","3.33333333333333","3","3.75"
"05-E","1","3",NA,"3",NA,NA,"5","3","5","2","3.14285714285714","2","4"
"05-F",NA,"2",NA,NA,"2","2","2",NA,NA,NA,"2","2","2"
"05-F_Pop1",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1","NaN","1"
"05-G",NA,NA,NA,NA,"1",NA,"2",NA,"1",NA,"1.33333333333333","1","1.5"
"05-G_Pop1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1","1","NaN"
"05-IC_Pop","1",NA,NA,NA,NA,NA,"2",NA,NA,NA,"1.5","1","2"
"05-PosMonitor","1","7","1","2","9","3","9","5","9","1","4.7","3.8","5.6"
"05-Poster","1",NA,NA,"2","9",NA,"2","1",NA,NA,"3","3.66666666666667","2"
"Mood","缶コーヒー","弁当","おにぎり","ヨーグルト","おにぎり","飲み物","おにぎり","甘いもの","アルコール","おにぎり","缶コーヒー","弁当","おにぎり"
