"","02-A","02-A_Pop1","02-A_Pop2","02-B","02-B_Pop1","02-C","02-C_Pop1","02-D","02-E","02-F","02-G","02-H"
"J10",NA,NA,NA,0.8,NA,0.27,NA,0.07,0.87,NA,NA,NA
"J11",0.97,NA,0.07,0.57,NA,0.83,NA,NA,NA,NA,NA,NA
"J21",NA,NA,NA,0.73,NA,1.3,NA,NA,NA,NA,NA,NA
"J22",NA,NA,NA,0.63,NA,0.1,NA,0.03,0.87,0.5,NA,NA
"J23",0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J32",0.27,NA,NA,0.13,NA,NA,NA,0.13,NA,NA,NA,NA
"J33",NA,NA,NA,0.6,NA,0.17,NA,NA,0.17,NA,NA,NA
"J41",NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA
"J42",NA,NA,NA,0.13,NA,0.2,0.07,NA,NA,NA,NA,NA
"J43",NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA
