"","02-A","02-A_Pop1","02-A_Pop2","02-B","02-B_Pop1","02-C","02-C_Pop1","02-D","02-E","02-F","02-G","02-H"
"J10",0.9,NA,0.13,0.5,NA,0.2,0.03,0.03,NA,NA,NA,NA
"J11",3.37,6.07,0.17,3.87,0.03,3.6,NA,1.7,2.2,2.77,0.07,NA
"J21",5.87,NA,0.43,6.17,NA,11.77,0.47,2.5,2.93,0.63,0.43,NA
"J22",8.97,0.33,0.53,1.97,NA,1.53,0.07,0.77,1,0.97,0.93,0.1
"J23",3.67,NA,0.4,1.7,NA,1.73,NA,0.47,0.93,0.87,1,0.13
"J32",0.13,NA,0.27,NA,NA,NA,NA,NA,NA,0.2,NA,NA
"J33",1.2,NA,NA,0.77,NA,0.2,NA,0.27,NA,0.6,0.57,0.17
"J41",0.07,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
