"","04-A","04-B","04-C","04-C_Pop1","04-D","04-E","04-E_Pop1","04-F","04-G","04-G_Pop1","04-G_Pop2","04-H","04-H_Pop1","04-H_Pop2","04-H_Pop3","04-I","04-J","04-K","04-L","04-L_Pop1","04-L_Pop2"
"J10",0.13,0.33,NA,NA,NA,NA,NA,NA,0.17,NA,0.03,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J11",NA,NA,0.23,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J21",NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA,0.73,NA,NA,NA
"J22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,NA,0.37,NA,NA,NA
"J23",0.2,0.5,0.33,NA,0.33,0.23,NA,NA,NA,NA,NA,0.4,NA,NA,NA,0.23,0.73,0.33,0.17,NA,NA
"J32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,0.32,NA,NA,NA,NA,NA
"J41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.67,0.23,NA,NA,NA,NA
"J42",NA,NA,0.2,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA
"J43",NA,0.27,0.27,NA,NA,NA,NA,NA,NA,NA,NA,0.53,NA,NA,NA,0.27,NA,NA,NA,NA,NA
