"","J10","J11","J21","J22","J23","J32","J33","J41","J42","J43","Mean_all","Mean_men","Mean_wom"
"04-A","3.17","2.7","0.7","0.6","1.63",NA,"1.12",NA,NA,"0.87","1.54142857142857","1.89","1.28"
"04-B","7","3.07","0.7","1.3","7.53",NA,"0.84","0.23",NA,"7.57","3.53","5.5825","1.4775"
"04-C","4.17","13.43","3.33","1.2","2.67",NA,"0.36","1.73","0.43","1.33","3.18333333333333","2.475","3.75"
"04-C_Pop1",NA,"0.37",NA,NA,"0.03",NA,NA,NA,NA,NA,"0.2","0.03","0.37"
"04-D","2.67","5.93","2.57","2.53","3.2",NA,"0.24","1.1",NA,"0.3","2.3175","1.8175","2.8175"
"04-E","9.13","3.03","1.1","2.7","6.03",NA,"0.44","0.73",NA,NA,"3.30857142857143","5.29666666666667","1.8175"
"04-E_Pop1","3.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.3","3.3","NaN"
"04-F","19.23",NA,"0.67",NA,"1.43",NA,"1.36","0.2",NA,"0.17","3.84333333333333","5.2575","1.015"
"04-G","0.63",NA,NA,"0.33",NA,NA,"2.48",NA,NA,"0.2","0.91","0.415","1.405"
"04-G_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-G_Pop2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-H","0.9",NA,"0.4","1.23","0.13",NA,"19.44",NA,NA,NA,"4.42","0.515","7.02333333333333"
"04-H_Pop1",NA,NA,NA,NA,NA,NA,"2.36",NA,NA,NA,"2.36","NaN","2.36"
"04-H_Pop2",NA,NA,NA,"0.03",NA,NA,"0.84",NA,NA,NA,"0.435","NaN","0.435"
"04-H_Pop3",NA,NA,NA,NA,NA,NA,"3.56",NA,NA,NA,"3.56","NaN","3.56"
"04-I",NA,"0.27","0.67","0.37","0.2",NA,"1.4","1.57","0.37","0.3","0.64375","0.69","0.616"
"04-J","1.77",NA,"0.87",NA,"0.2",NA,"0.84","1.77",NA,"0.63","1.01333333333333","1.0925","0.855"
"04-K","0.73",NA,"1.17","0.47","0.23",NA,"0.52","9.13",NA,"0.2","1.77857142857143","2.5725","0.72"
"04-L","0.53",NA,NA,"0.93","0.23",NA,NA,"1.93",NA,"4.13","1.55","1.705","0.93"
"04-L_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-L_Pop2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"Mood","缶コーヒー","弁当","おにぎり","ヨーグルト","おにぎり","飲み物","おにぎり","甘いもの","アルコール","おにぎり","缶コーヒー","弁当","おにぎり"
