"","05-A","05-B","05-C","05-D","05-E","05-F","05-F_Pop1","05-G","05-G_Pop1","05-IC_Pop","05-PosMonitor","05-Poster"
"J10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J11",0.47,0.13,0.1,0.4,NA,0.03,0.07,0.07,0.07,NA,0.13,NA
"J21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.3
"J23",NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,0.23
"J32",NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,1.2,NA
"J33",0.13,0.17,NA,NA,NA,0.27,NA,0.47,NA,NA,0.2,0.17
"J41",NA,NA,NA,NA,NA,0.13,NA,NA,NA,0.13,NA,NA
"J42",0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,NA
"J43",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA
