"","J10","J11","J21","J22","J23","J32","J33","J41","J42","J43","Mean_all","Mean_men","Mean_wom"
"05-A","0.07",NA,NA,NA,"0.27",NA,NA,"7.33","2",NA,"2.4175","2.55666666666667","2"
"05-B","0.03",NA,NA,NA,NA,NA,NA,NA,"1.53",NA,"0.78","0.03","1.53"
"05-C",NA,NA,NA,NA,NA,NA,NA,NA,"0.43",NA,"0.43","NaN","0.43"
"05-D",NA,NA,NA,NA,NA,NA,NA,NA,"0.4",NA,"0.4","NaN","0.4"
"05-E",NA,NA,NA,NA,NA,"0.13","0.28","0.5","0.6",NA,"0.3775","0.315","0.44"
"05-F",NA,"0.3",NA,"0.77",NA,"0.07","0.16",NA,NA,NA,"0.325","0.07","0.41"
"05-F_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"05-G",NA,NA,NA,NA,"1.03",NA,NA,NA,"0.53",NA,"0.78","1.03","0.53"
"05-G_Pop1",NA,NA,NA,NA,"0.27",NA,NA,NA,NA,NA,"0.27","0.27","NaN"
"05-IC_Pop","0.07","0.2",NA,NA,NA,NA,NA,NA,NA,NA,"0.135","0.07","0.2"
"05-PosMonitor",NA,"0.43",NA,"0.27",NA,NA,NA,NA,"1.33",NA,"0.676666666666667","NaN","0.676666666666667"
"05-Poster",NA,NA,NA,NA,"0.13","0.07","0.36",NA,NA,NA,"0.186666666666667","0.1","0.36"
"Mood","缶コーヒー","弁当","おにぎり","ヨーグルト","おにぎり","飲み物","おにぎり","甘いもの","アルコール","おにぎり","缶コーヒー","弁当","おにぎり"
