"","02-A","02-A_Pop1","02-A_Pop2","02-B","02-B_Pop1","02-C","02-C_Pop1","02-D","02-E","02-F","02-G","02-H"
"J10",3.43,NA,2.87,2.73,NA,2.57,NA,2.5,NA,0.17,NA,NA
"J11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J21",NA,NA,NA,NA,NA,NA,NA,6.43,6.1,NA,NA,NA
"J22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J23",1.4,2.4,1.2,0.97,NA,0.43,NA,0.27,0.1,0,NA,NA
"J32",NA,NA,6.3,3.87,NA,4.5,NA,NA,NA,NA,NA,NA
"J33",NA,NA,NA,NA,NA,3.4,3.36,3.16,2.84,NA,NA,NA
"J41",10.77,2.3,3.47,9.27,NA,2.5,NA,NA,3.13,9.03,10.1,10.03
"J42",NA,NA,75.87,76.6,NA,2.93,NA,4.4,NA,NA,NA,NA
"J43",5.4,NA,4.87,8.27,4.73,3.6,3.57,3.17,2.6,2.73,3.83,3.9
