"","02-A","02-A_Pop1","02-A_Pop2","02-B","02-B_Pop1","02-C","02-C_Pop1","02-D","02-E","02-F","02-G","02-H"
"J10",4,4.37,7.57,9.3,NA,11.77,12.23,12.17,14.13,52.67,52.77,53.27
"J11",35.7,36.23,NA,34.37,63,34.83,NA,34.93,35.07,44.7,44.93,45.97
"J21",NA,NA,NA,NA,NA,NA,NA,6.83,NA,NA,NA,NA
"J22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J23",81.13,NA,81,5.73,NA,6.57,21.27,21.5,21.8,44.33,47.37,47.4
"J32",10.77,NA,10.5,10.1,NA,8.03,30.13,11.93,12.2,NA,16.1,16.37
"J33",90.84,NA,87.28,86.96,88.64,88.72,103.92,96.8,92.44,92.84,93.08,93.28
"J41",22.67,NA,23.33,12.3,NA,13.3,NA,14.9,17.07,16.93,17.73,18.03
"J42",53.4,NA,52.67,50.93,NA,57.9,62.4,59.97,60.33,61.3,NA,NA
"J43",15.07,NA,14.57,9.13,NA,9.47,16.53,10.07,12.1,10.27,11.17,10.73
