"","J10","J11","J21","J22","J23","J32","J33","J41","J42","J43","Mean_all","Mean_men","Mean_wom"
"02-A","4","35.7",NA,NA,"81.13","10.77","90.84","22.67","53.4","15.07","39.1975","26.728","59.98"
"02-A_Pop1","4.37","36.23",NA,NA,NA,NA,NA,NA,NA,NA,"20.3","4.37","36.23"
"02-A_Pop2","7.57",NA,NA,NA,"81","10.5","87.28","23.33","52.67","14.57","39.56","27.394","69.975"
"02-B","9.3","34.37",NA,NA,"5.73","10.1","86.96","12.3","50.93","9.13","27.3525","9.312","57.42"
"02-B_Pop1",NA,"63",NA,NA,NA,NA,"88.64",NA,NA,NA,"75.82","NaN","75.82"
"02-C","11.77","34.83",NA,NA,"6.57","8.03","88.72","13.3","57.9","9.47","28.82375","9.828","60.4833333333333"
"02-C_Pop1","12.23",NA,NA,NA,"21.27","30.13","103.92",NA,"62.4","16.53","41.08","20.04","83.16"
"02-D","12.17","34.93","6.83",NA,"21.5","11.93","96.8","14.9","59.97","10.07","29.9","14.114","49.6325"
"02-E","14.13","35.07",NA,NA,"21.8","12.2","92.44","17.07","60.33","12.1","33.1425","15.46","62.6133333333333"
"02-F","52.67","44.7",NA,NA,"44.33",NA,"92.84","16.93","61.3","10.27","46.1485714285714","31.05","66.28"
"02-G","52.77","44.93",NA,NA,"47.37","16.1","93.08","17.73",NA,"11.17","40.45","29.028","69.005"
"02-H","53.27","45.97",NA,NA,"47.4","16.37","93.28","18.03",NA,"10.73","40.7214285714286","29.16","69.625"
"Mood","缶コーヒー","弁当","おにぎり","ヨーグルト","おにぎり","飲み物","おにぎり","甘いもの","アルコール","おにぎり","缶コーヒー","弁当","おにぎり"
