"","03-A","03-B","03-B_Pop1","03-C","03-D","03-E","03-F","03-G"
"J10",42.4,39.8,NA,39.33,36.57,37.07,44.5,45.33
"J11",38.33,49.4,NA,53.4,57.9,68.07,84.67,98.63
"J21",60.4,58.7,NA,58.17,54.4,55.17,119.33,57.37
"J22",NA,32.37,NA,32.07,33.03,31.03,NA,NA
"J23",98.83,98.73,NA,99.97,111.67,137.53,164.37,165.1
"J32",NA,36.07,NA,35.67,33.9,34.43,40.9,35.07
"J33",102.8,105.6,NA,107.93,109.77,110.27,111.77,112.07
"J41",NA,NA,NA,32.43,31.53,32,NA,NA
"J42",NA,NA,NA,NA,NA,NA,NA,NA
"J43",NA,NA,NA,NA,NA,NA,NA,NA
