"","04-A","04-B","04-C","04-C_Pop1","04-D","04-E","04-E_Pop1","04-F","04-G","04-G_Pop1","04-G_Pop2","04-H","04-H_Pop1","04-H_Pop2","04-H_Pop3","04-I","04-J","04-K","04-L","04-L_Pop1","04-L_Pop2"
"J10",NA,98.87,98.73,NA,220.96,NA,NA,NA,NA,NA,NA,103.67,NA,104.77,NA,103.53,NA,NA,NA,NA,NA
"J11",NA,NA,922.59,NA,948.19,NA,NA,NA,NA,NA,NA,922.66,NA,NA,NA,922.52,NA,NA,NA,NA,NA
"J21",NA,NA,79.13,79.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.37,78.77,79.63,80,NA,NA
"J22",NA,NA,NA,NA,93.8,NA,NA,94.03,NA,NA,NA,NA,NA,NA,NA,91.33,NA,90.83,NA,NA,NA
"J23",NA,NA,169.4,NA,NA,169.3,NA,NA,256.93,NA,NA,98.2,NA,NA,NA,98.07,274.83,258.03,258.23,NA,NA
"J32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J33",NA,NA,NA,NA,278.4,138.67,NA,362.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,278.73,278.93,NA,NA
"J41",NA,NA,NA,NA,223.8,115.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.93,NA,NA,NA,NA
"J42",NA,31.73,33.03,NA,32.63,32.53,NA,NA,35.33,NA,NA,31.87,NA,NA,NA,33.17,NA,NA,NA,NA,NA
"J43",NA,31.2,31.27,NA,35,96.23,NA,NA,NA,NA,NA,NA,NA,35.53,NA,35.13,56.67,NA,NA,NA,NA
