"","J10","J11","J21","J22","J23","J32","J33","J41","J42","J43","Mean_all","Mean_men","Mean_wom"
"04-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-B","98.87",NA,NA,NA,NA,NA,NA,NA,"31.73","31.2","53.9333333333333","65.035","31.73"
"04-C","98.73","922.59","79.13",NA,"169.4",NA,NA,NA,"33.03","31.27","222.358333333333","99.8","344.916666666667"
"04-C_Pop1",NA,NA,"79.27",NA,NA,NA,NA,NA,NA,NA,"79.27","NaN","79.27"
"04-D","220.96","948.19",NA,"93.8",NA,NA,"278.4","223.8","32.63","35","261.825714285714","159.92","338.255"
"04-E",NA,NA,NA,NA,"169.3",NA,"138.67","115.83","32.53","96.23","110.512","127.12","85.6"
"04-E_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-F",NA,NA,NA,"94.03",NA,NA,"362.98",NA,NA,NA,"228.505","NaN","228.505"
"04-G",NA,NA,NA,NA,"256.93",NA,NA,NA,"35.33",NA,"146.13","256.93","35.33"
"04-G_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-G_Pop2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-H","103.67","922.66",NA,NA,"98.2","225.16",NA,NA,"31.87",NA,"276.312","142.343333333333","477.265"
"04-H_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-H_Pop2","104.77",NA,NA,NA,NA,NA,NA,NA,NA,"35.53","70.15","70.15","NaN"
"04-H_Pop3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-I","103.53","922.52","78.37","91.33","98.07",NA,NA,NA,"33.17","35.13","194.588571428571","78.91","281.3475"
"04-J",NA,NA,"78.77",NA,"274.83",NA,NA,"223.93",NA,"56.67","158.55","185.143333333333","78.77"
"04-K",NA,NA,"79.63","90.83","258.03",NA,"278.73",NA,NA,NA,"176.805","258.03","149.73"
"04-L",NA,NA,"80",NA,"258.23",NA,"278.93",NA,NA,NA,"205.72","258.23","179.465"
"04-L_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-L_Pop2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"Mood","缶コーヒー","弁当","おにぎり","ヨーグルト","おにぎり","飲み物","おにぎり","甘いもの","アルコール","おにぎり","缶コーヒー","弁当","おにぎり"
