"","04-A","04-B","04-C","04-C_Pop1","04-D","04-E","04-E_Pop1","04-F","04-G","04-G_Pop1","04-G_Pop2","04-H","04-H_Pop1","04-H_Pop2","04-H_Pop3","04-I","04-J","04-K","04-L","04-L_Pop1","04-L_Pop2"
"J10",131.97,130.13,129.9,NA,139.2,140.6,151.73,151.77,132.7,NA,NA,133.2,NA,NA,NA,NA,158.7,158.83,156.2,NA,NA
"J11",72.47,69.07,69.4,139.43,70.53,71.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.07,NA,NA,NA,NA,NA
"J21",28.43,28.67,20.07,NA,20.83,32.27,NA,36.9,NA,NA,NA,16.37,NA,NA,NA,18.77,13.93,12.7,NA,NA,NA
"J22",28.23,29.67,26.53,NA,27,30.3,NA,NA,38.73,NA,NA,25.63,NA,27.7,NA,26.1,NA,27.43,35.63,NA,NA
"J23",102.47,95.07,94.33,113.5,91.4,91.17,NA,90.9,NA,NA,NA,115.83,NA,NA,NA,90,90.23,90.43,90.67,NA,NA
"J32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J33",11.96,11.72,14.4,NA,14.76,15.04,NA,15.24,13.16,NA,NA,17.56,22.96,39.72,40.84,20.84,17.44,22.2,NA,NA,NA
"J41",NA,98.53,98,NA,97.8,97.4,NA,97.2,NA,NA,NA,NA,NA,NA,NA,100.37,100.7,88.53,95.27,NA,NA
"J42",NA,NA,29.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA
"J43",91.6,87.43,87.27,NA,90.6,NA,NA,105.17,91.93,NA,NA,NA,NA,NA,NA,93.1,93.47,94.03,94.27,NA,NA
