"","05-A","05-B","05-C","05-D","05-E","05-F","05-F_Pop1","05-G","05-G_Pop1","05-IC_Pop","05-PosMonitor","05-Poster"
"J10",213.67,213.7,NA,NA,NA,NA,NA,NA,NA,212.83,NA,NA
"J11",NA,NA,NA,NA,NA,162.8,NA,NA,NA,158.57,158.5,NA
"J21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J22",NA,NA,NA,NA,NA,45.3,NA,NA,NA,NA,41.93,NA
"J23",133.5,NA,NA,NA,NA,NA,NA,134.7,134.43,NA,NA,158.93
"J32",NA,NA,NA,NA,60.13,53.87,NA,NA,NA,NA,NA,78.87
"J33",NA,NA,NA,NA,164.4,164.04,NA,NA,NA,NA,NA,162.76
"J41",113.03,NA,NA,NA,120.37,NA,NA,NA,NA,NA,NA,NA
"J42",33.23,33.83,46.53,37.37,32.43,NA,NA,40.17,NA,NA,30.93,NA
"J43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
