"","05-A","05-B","05-C","05-D","05-E","05-F","05-F_Pop1","05-G","05-G_Pop1","05-IC_Pop","05-PosMonitor","05-Poster"
"J10",NA,NA,NA,221.4,235.86,NA,NA,NA,NA,220.53,224.3,224.46
"J11",NA,NA,NA,165.27,172.07,163.4,NA,NA,NA,NA,164.73,NA
"J21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.77,NA
"J22",NA,NA,NA,51.3,49.73,NA,NA,NA,NA,NA,49.2,52.37
"J23",166.3,166.47,166.7,141.17,NA,162.83,NA,166.1,166.27,NA,141.37,141.67
"J32",65.97,64.2,NA,82.5,NA,81.4,NA,NA,NA,NA,80.7,NA
"J33",NA,NA,NA,116.96,124.48,109.56,109.48,110.96,NA,142.96,118.92,136.44
"J41",NA,NA,NA,147.87,144.53,NA,NA,NA,NA,NA,146.93,144.47
"J42",38.53,44.6,NA,112.8,90.43,NA,NA,95.37,NA,NA,90.63,NA
"J43",116.17,NA,NA,119.43,122.37,NA,NA,NA,NA,NA,142.53,NA
