"","J10","J11","J21","J22","J23","J32","J33","J41","J42","J43","Mean_all","Mean_men","Mean_wom"
"02-A","1",NA,NA,NA,"3",NA,NA,"1",NA,"6","2.75","2.75","NaN"
"02-A_Pop1",NA,NA,NA,NA,"1",NA,NA,"2",NA,NA,"1.5","1.5","NaN"
"02-A_Pop2","2",NA,NA,NA,"2","1",NA,"1","1","4","1.83333333333333","2","1"
"02-B","3",NA,NA,NA,"1","3",NA,"3","1","1","2","2.2","1"
"02-B_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","NaN"
"02-C","2",NA,NA,NA,"2","2","2","4","5","2","2.71428571428571","2.4","3.5"
"02-C_Pop1",NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1","1","1"
"02-D","2",NA,"1",NA,"2",NA,"3",NA,"1","2","1.83333333333333","2","1.66666666666667"
"02-E",NA,NA,"2",NA,"2",NA,"1","2",NA,"2","1.8","2","1.5"
"02-F","3",NA,NA,NA,"1",NA,NA,"1",NA,"2","1.75","1.75","NaN"
"02-G",NA,NA,NA,NA,NA,NA,NA,"2",NA,"3","2.5","2.5","NaN"
"02-H",NA,NA,NA,NA,NA,NA,NA,"2",NA,"1","1.5","1.5","NaN"
"Mood","缶コーヒー","弁当","おにぎり","ヨーグルト","おにぎり","飲み物","おにぎり","甘いもの","アルコール","おにぎり","缶コーヒー","弁当","おにぎり"
