"","J10","J11","J21","J22","J23","J32","J33","J41","J42","J43","Mean_all","Mean_men","Mean_wom"
"02-A","9","2",NA,NA,"1","10","3","3","4","4","4.5","5.4","3"
"02-A_Pop1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1"
"02-A_Pop2","6",NA,NA,NA,"1","10","4","3","5","2","4.42857142857143","4.4","4.5"
"02-B","9","6",NA,NA,"17","6","10","9","9","5","8.875","9.2","8.33333333333333"
"02-B_Pop1",NA,"1",NA,NA,NA,NA,"3",NA,NA,NA,"2","NaN","2"
"02-C","10","13",NA,NA,"29","4","4","14","11","11","12","13.6","9.33333333333333"
"02-C_Pop1","8",NA,NA,NA,"6","1","1",NA,"2","2","3.33333333333333","4.25","1.5"
"02-D","24","8","1",NA,"2","6","4","6","6","19","8.44444444444444","11.4","4.75"
"02-E","15","5",NA,NA,"8","3","4","9","5","21","8.75","11.2","4.66666666666667"
"02-F","4","4",NA,NA,"6",NA,"3","4","3","7","4.42857142857143","5.25","3.33333333333333"
"02-G","2","3",NA,NA,"3","1","2","1",NA,"4","2.28571428571429","2.2","2.5"
"02-H","2","2",NA,NA,"2","1","2","1",NA,"3","1.85714285714286","1.8","2"
"Mood","缶コーヒー","弁当","おにぎり","ヨーグルト","おにぎり","飲み物","おにぎり","甘いもの","アルコール","おにぎり","缶コーヒー","弁当","おにぎり"
