"","04-A","04-B","04-C","04-C_Pop1","04-D","04-E","04-E_Pop1","04-F","04-G","04-G_Pop1","04-G_Pop2","04-H","04-H_Pop1","04-H_Pop2","04-H_Pop3","04-I","04-J","04-K","04-L","04-L_Pop1","04-L_Pop2"
"J10",1,NA,NA,NA,1,NA,NA,NA,4,1,NA,3,NA,NA,NA,1,3,2,NA,NA,NA
"J11",NA,1,2,NA,2,NA,NA,NA,2,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA
"J21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J23",NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,2,NA,NA,NA
"J32",1,4,6,NA,4,7,NA,2,2,NA,NA,18,4,3,4,3,NA,1,1,NA,NA
"J33",NA,NA,1,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
"J41",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J42",1,2,1,NA,NA,NA,NA,NA,5,NA,1,3,NA,1,2,2,2,2,1,NA,NA
"J43",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
