"","04-A","04-B","04-C","04-C_Pop1","04-D","04-E","04-E_Pop1","04-F","04-G","04-G_Pop1","04-G_Pop2","04-H","04-H_Pop1","04-H_Pop2","04-H_Pop3","04-I","04-J","04-K","04-L","04-L_Pop1","04-L_Pop2"
"J10",NA,0.1,0.3,NA,0.2,NA,NA,NA,NA,NA,NA,0.73,NA,0.23,NA,0.43,NA,NA,NA,NA,NA
"J11",NA,NA,0.77,NA,0.6,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,0.1,NA,NA,NA,NA,NA
"J21",NA,NA,0.13,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.43,0.37,0.17,NA,NA
"J22",NA,NA,NA,NA,0.03,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.3,NA,NA,NA
"J23",NA,NA,0.27,NA,NA,0.1,NA,NA,0.13,NA,NA,0.5,NA,NA,NA,0.13,0.07,0.2,0.13,NA,NA
"J32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J33",NA,NA,NA,NA,0.2,0.2,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1.1,NA,NA
"J41",NA,NA,NA,NA,0.13,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA
"J42",NA,0.13,0.13,NA,0.3,0.1,NA,NA,0.03,NA,NA,0.87,NA,NA,NA,0.43,NA,NA,NA,NA,NA
"J43",NA,0.47,1.1,NA,0.07,0.23,NA,NA,NA,NA,NA,NA,NA,0.07,NA,0.87,0.13,NA,NA,NA,NA
