"","J10","J11","J21","J22","J23","J32","J33","J41","J42","J43","Mean_all","Mean_men","Mean_wom"
"04-A","0.13",NA,NA,NA,"0.2",NA,NA,NA,NA,NA,"0.165","0.165","NaN"
"04-B","0.33",NA,"0.4",NA,"0.5",NA,NA,NA,NA,"0.27","0.375","0.366666666666667","0.4"
"04-C",NA,"0.23",NA,NA,"0.33",NA,NA,NA,"0.2","0.27","0.2575","0.3","0.215"
"04-C_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-D",NA,NA,NA,NA,"0.33",NA,NA,NA,NA,NA,"0.33","0.33","NaN"
"04-E",NA,NA,NA,NA,"0.23",NA,NA,NA,NA,NA,"0.23","0.23","NaN"
"04-E_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-F",NA,NA,NA,NA,NA,NA,NA,NA,"0.3",NA,"0.3","NaN","0.3"
"04-G","0.17","0.3",NA,NA,NA,NA,NA,NA,NA,NA,"0.235","0.17","0.3"
"04-G_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-G_Pop2","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.03","0.03","NaN"
"04-H","0.73",NA,"0.27",NA,"0.4",NA,"0.16","0.1",NA,"0.53","0.365","0.44","0.215"
"04-H_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-H_Pop2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-H_Pop3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-I",NA,NA,NA,"0.43","0.23",NA,"0.32","0.67",NA,"0.27","0.384","0.39","0.375"
"04-J",NA,NA,NA,NA,"0.73",NA,NA,"0.23","0.23",NA,"0.396666666666667","0.48","0.23"
"04-K",NA,NA,"0.73","0.37","0.33",NA,NA,NA,NA,NA,"0.476666666666667","0.33","0.55"
"04-L",NA,NA,NA,NA,"0.17",NA,NA,NA,NA,NA,"0.17","0.17","NaN"
"04-L_Pop1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"04-L_Pop2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"Mood","缶コーヒー","弁当","おにぎり","ヨーグルト","おにぎり","飲み物","おにぎり","甘いもの","アルコール","おにぎり","缶コーヒー","弁当","おにぎり"
