"","04-A","04-B","04-C","04-C_Pop1","04-D","04-E","04-E_Pop1","04-F","04-G","04-G_Pop1","04-G_Pop2","04-H","04-H_Pop1","04-H_Pop2","04-H_Pop3","04-I","04-J","04-K","04-L","04-L_Pop1","04-L_Pop2"
"J10",3.17,7,4.17,NA,2.67,9.13,3.3,19.23,0.63,NA,NA,0.9,NA,NA,NA,NA,1.77,0.73,0.53,NA,NA
"J11",2.7,3.07,13.43,0.37,5.93,3.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA
"J21",0.7,0.7,3.33,NA,2.57,1.1,NA,0.67,NA,NA,NA,0.4,NA,NA,NA,0.67,0.87,1.17,NA,NA,NA
"J22",0.6,1.3,1.2,NA,2.53,2.7,NA,NA,0.33,NA,NA,1.23,NA,0.03,NA,0.37,NA,0.47,0.93,NA,NA
"J23",1.63,7.53,2.67,0.03,3.2,6.03,NA,1.43,NA,NA,NA,0.13,NA,NA,NA,0.2,0.2,0.23,0.23,NA,NA
"J32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J33",1.12,0.84,0.36,NA,0.24,0.44,NA,1.36,2.48,NA,NA,19.44,2.36,0.84,3.56,1.4,0.84,0.52,NA,NA,NA
"J41",NA,0.23,1.73,NA,1.1,0.73,NA,0.2,NA,NA,NA,NA,NA,NA,NA,1.57,1.77,9.13,1.93,NA,NA
"J42",NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA
"J43",0.87,7.57,1.33,NA,0.3,NA,NA,0.17,0.2,NA,NA,NA,NA,NA,NA,0.3,0.63,0.2,4.13,NA,NA
