"","05-A","05-B","05-C","05-D","05-E","05-F","05-F_Pop1","05-G","05-G_Pop1","05-IC_Pop","05-PosMonitor","05-Poster"
"J10",0.07,0.03,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA
"J11",NA,NA,NA,NA,NA,0.3,NA,NA,NA,0.2,0.43,NA
"J21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J22",NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA,0.27,NA
"J23",0.27,NA,NA,NA,NA,NA,NA,1.03,0.27,NA,NA,0.13
"J32",NA,NA,NA,NA,0.13,0.07,NA,NA,NA,NA,NA,0.07
"J33",NA,NA,NA,NA,0.28,0.16,NA,NA,NA,NA,NA,0.36
"J41",7.33,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"J42",2,1.53,0.43,0.4,0.6,NA,NA,0.53,NA,NA,1.33,NA
"J43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
