"","02-A","02-A_Pop1","02-A_Pop2","02-B","02-B_Pop1","02-C","02-C_Pop1","02-D","02-E","02-F","02-G","02-H"
"J10",NA,NA,NA,24.83,NA,25.53,NA,25.83,25.9,NA,NA,NA
"J11",518.03,NA,517.96,879.73,NA,28.73,NA,NA,NA,NA,NA,NA
"J21",NA,NA,NA,29.5,NA,29.3,NA,NA,NA,NA,NA,NA
"J22",NA,NA,NA,25.03,NA,25.67,NA,25.77,25.8,26.67,NA,NA
"J23",34.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J32",361.56,NA,NA,362.1,NA,NA,NA,26,NA,NA,NA,NA
"J33",NA,NA,NA,26.77,NA,25.93,NA,NA,30.23,NA,NA,NA
"J41",NA,NA,NA,NA,NA,26.3,NA,NA,NA,NA,NA,NA
"J42",NA,NA,NA,20.33,NA,20.53,20.67,NA,NA,NA,NA,NA
"J43",NA,NA,NA,NA,NA,126.77,NA,NA,NA,NA,NA,NA
