"","02-A","02-A_Pop1","02-A_Pop2","02-B","02-B_Pop1","02-C","02-C_Pop1","02-D","02-E","02-F","02-G","02-H"
"J10",28.17,NA,27.8,27.2,NA,26.97,26.87,26.9,NA,NA,NA,NA
"J11",30.9,519.26,30.47,31.4,34.43,30.2,NA,30.13,533.36,536.4,540.73,NA
"J21",30.23,NA,50.03,40.57,NA,31.53,153.53,31.07,34.97,37.3,36.97,NA
"J22",29.83,69.3,64.53,29.27,NA,29.23,67.77,29.1,27.17,27.6,27.8,28.3
"J23",51.67,NA,51.53,48.53,NA,49.07,NA,49.8,50.07,50.3,50.7,50.9
"J32",26.47,NA,26.2,NA,NA,NA,NA,NA,NA,29.17,NA,NA
"J33",192.23,NA,NA,192.8,NA,193.43,NA,193.63,NA,194.13,194.33,194.57
"J41",26.8,26.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
