"","J10","J11","J21","J22","J23","J32","J33","J41","J42","J43","Mean_all","Mean_men","Mean_wom"
"05-A",NA,"403.76",NA,NA,NA,NA,"162.23",NA,"25.8","106.6","174.5975","106.6","197.263333333333"
"05-B",NA,"672.26",NA,NA,NA,NA,"162.07",NA,NA,NA,"417.165","NaN","417.165"
"05-C",NA,"960.82",NA,NA,"349.73",NA,NA,NA,NA,NA,"655.275","349.73","960.82"
"05-D",NA,"969.69",NA,NA,NA,NA,NA,NA,NA,NA,"969.69","NaN","969.69"
"05-E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN"
"05-F",NA,"1014.46",NA,NA,NA,NA,"373.78","259.36",NA,NA,"549.2","259.36","694.12"
"05-F_Pop1",NA,"1015.22",NA,NA,NA,NA,NA,NA,NA,NA,"1015.22","NaN","1015.22"
"05-G",NA,"961.12",NA,NA,NA,"299.13","162.37",NA,NA,NA,"474.206666666667","299.13","561.745"
"05-G_Pop1",NA,"961.06",NA,NA,NA,NA,NA,NA,NA,NA,"961.06","NaN","961.06"
"05-IC_Pop",NA,NA,NA,NA,NA,NA,NA,"259.5",NA,NA,"259.5","259.5","NaN"
"05-PosMonitor",NA,"966.39",NA,"130.4",NA,"24.1","198.07",NA,"18.37","44.53","230.31","34.315","328.3075"
"05-Poster",NA,NA,NA,"154.27","413.1",NA,"198.27",NA,NA,NA,"255.213333333333","413.1","176.27"
"Mood","缶コーヒー","弁当","おにぎり","ヨーグルト","おにぎり","飲み物","おにぎり","甘いもの","アルコール","おにぎり","缶コーヒー","弁当","おにぎり"
