"","J10","J11","J21","J22","J23","J32","J33","J41","J42","J43","Mean_all","Mean_men","Mean_wom"
"05-A",NA,NA,NA,NA,"166.3","65.97",NA,NA,"38.53","116.17","96.7425","116.146666666667","38.53"
"05-B",NA,NA,NA,NA,"166.47","64.2",NA,NA,"44.6",NA,"91.7566666666667","115.335","44.6"
"05-C",NA,NA,NA,NA,"166.7",NA,NA,NA,NA,NA,"166.7","166.7","NaN"
"05-D","221.4","165.27",NA,"51.3","141.17","82.5","116.96","147.87","112.8","119.43","128.744444444444","142.474","111.5825"
"05-E","235.86","172.07",NA,"49.73",NA,NA,"124.48","144.53","90.43","122.37","134.21","167.586666666667","109.1775"
"05-F",NA,"163.4",NA,NA,"162.83","81.4","109.56",NA,NA,NA,"129.2975","122.115","136.48"
"05-F_Pop1",NA,NA,NA,NA,NA,NA,"109.48",NA,NA,NA,"109.48","NaN","109.48"
"05-G",NA,NA,NA,NA,"166.1",NA,"110.96",NA,"95.37",NA,"124.143333333333","166.1","103.165"
"05-G_Pop1",NA,NA,NA,NA,"166.27",NA,NA,NA,NA,NA,"166.27","166.27","NaN"
"05-IC_Pop","220.53",NA,NA,NA,NA,NA,"142.96",NA,NA,NA,"181.745","220.53","142.96"
"05-PosMonitor","224.3","164.73","62.77","49.2","141.37","80.7","118.92","146.93","90.63","142.53","122.208","147.166","97.25"
"05-Poster","224.46",NA,NA,"52.37","141.67",NA,"136.44","144.47",NA,NA,"139.882","170.2","94.405"
"Mood","缶コーヒー","弁当","おにぎり","ヨーグルト","おにぎり","飲み物","おにぎり","甘いもの","アルコール","おにぎり","缶コーヒー","弁当","おにぎり"
